#separator:tab
#html:false
Discovers (Piel)	מגלה	m'galeh
Shaves (Transitive) (Piel)	מגלח	m'galeakh
Renews, Innovates (Piel)	מחדש	m'khadesh
Blesses, Congratulates, Greets (Piel)	מברך	m'varekh
Describes, Imagines (Piel)	מתאר	m'ta'er
Fixes, Repairs, Corrects (Piel)	מתקן	m'taken
Day	יום	y'om
Sunday	יום ראשון	yom ri'shon
Monday	יום שני	yom sheni
Tuesday	יום שלישי	yom sh'lishi
Wednesday	יום רביעי	yom r'vi'i
Thursday	יום חמישי	yom khamishi
Friday	יום שישי	yom shishi
Time	זמן	z'man
Week	שבוע	shavu'a
Month	חודש	khodesh
Calendar	לוח שנה	luakh shanah
Date	תאריך	ta'arikh
Spring	אביב	aviv
Winter	חורף	khoref
Autumn, Fall	סתיו	staiv
Summer	קיץ	kayitz
Midnight	חצות	khatzot
Birthday	יום הולדת	yom huledet
Moment	רגע	rega
Decade	עשור	asor
Era	עידן	idan
Age	גיל	gil
Generation	דור	dor
Two years	שנתיים	sh'natiyim
Two months	חודשיים	khad'shiyim
Two weeks	שבועיים	sh'vu'iyim
Two days	יומיים	yomiyim
Two hours	שעתיים	sha'atayim
Process, Development	מהלך	mahalakh
Present	הווה	hoveh
Afternoon	אחר הצהריים	akhar hatzaharayom
January	ינואר	yanu'ar
February	פברואר	febru'ar
March	מרץ	martz
April	אפריל	april
May	מאי	ma'i
June	יוני	yuni
July	יולי	yuli
August	אוגוסט	ogust
September	ספטמבר	september
October	אוקטובר	ok'tober
November	נובמבר	november
December	דצמבר	detzember
Saturday, Shabbat	שבת	yom shabat
Hour	שעה	sha'ah
Minute	דקה	dakah
Second	שניה	sh'niyah
Season	עונה	onah
Period	תקופה	t'kufah
Year	שנה	shanah
Century	מאה	hame'ah
Party, Gathering	מסיבה	m'sibah
Next, Nearest, Coming (m.s)	הבאה	bava'ah
Today	היום	hayom
Tomorrow	מחר	makhar
Yesterday	אתמול	etmol
A Bit	קצת	k'tzat
Always	תמיד	tamid
Now	עכשיו	akhshav
In Two Days	מחרתיים	makharatayim
Nowadays	כיום	kayom
The Day Before Yesterday	שלשום	shil'shom
Till, Until; To, As Far As	עד	ad
Never	אף פעם	af pa'am
Tired	עייף	ayef
Regular, Ordinary	רגיל	ragil
Real, True	אמיתי	amiti
Special	מיוחד	m'yukhad
Old (People)	זקן	zaken
Young	צעיר	tza'ir
Open	פתוח	patuakh
Closed	סגור	sagur
Clean	נקי	naki
Dirty	מלוכלך	m'lukh'lakh
Important	חשוב	khashuv
Central	מרכזי	mer'kazi
Cheap	זול	zol
Expensive	יקר	yakar
Strong	חזק	khazak
Weak	חלש	khalash
Poor	עני	ani
Rich	עשיר	ashir
Possible	אפשרי	ef'shari
Impossible	בלתי אפשרי	bil'ti ef'shari
Wonderful, Great	נהדר	nehedar
Private	פרטי	p'rati
Alive	חי	khai
Nice	נחמד	mekh'mad
Necessary	הכרחי	hekh'rekhi
Independent	עצמאי	atz'ma'i
Responsible	אחראי	akharai'i
Free	חופשי	khafshi
Simple	פשוט	pashut
Excellent	מצוין	m'tzu'yan
Disgusting, Nasty	מגעיל	mag'il
Perfect	מושלם	mush'lam
Incorrect	שגוי	shagun
Correct	נכון	nakhon
Boring	משעמם	m'sha'amem
Interesting	מעניין	m'an'yen
Serious	רציני	r'tzini
Famous	מפורסם	m'fur'sam
Negative	שלילי	sh'lili
Positive	חיובי	khiuvi
Hard, Difficult	קשה	khasheh
Light, Easy	קל	kal
Efficient	יעיל	ya'il
Comfortable	נוח	noakh
Professional	מקצועי	mik'tzoi
Military	צבאי	tz'va'i
Familiar	מוכר	mukar
Many	רבות	rabim
Thin	רזה	razeh
Fat	שמן	shuman
Duration	משך	meshekh
Method, Mode, Technique	אופן	ofen
Once, One Time	פעם	pa'am
There (Location)	שם	sham
Here (Location)	פה	poh
Very	מאוד	m'od
More	עוד	od
Here (Location)	כאן	ka'n
Enough	די	dai
Often, Frequently	לעיתים קרובות	l'itim k'rovot
Rarely, Infrequently	לעיתים רחוקות	l'itim r'khokot
Anyway, Nevertheless	בכל זאת	b'khol zo't
Really, Truly	באמת	be'emet
Again	שוב	shuv
Sometimes	לפעמים	lif'amim
At Least	לפחות	l'fakhot
As Always	כמו תמיד	k'mo tamid
Differently, Otherwise	אחרת	akheret
Anyway	בכל אופן	b'khol ofen
Alone	לבד	l'vad
Mostly, Mainly	בעיקר	b'ikar
Later, Afterwards	אחר כך	akher kakh
Usually, Normally, Generally	בדרך כלל	b'derekh k'lal
Enough	מספיק	mas'pik
Soon, Shortly	בקרוב	b'karov
In The Meantime, Meanwhile	בינתיים	bein'tayim
Almost, Nearly	כמעט	kim'at
Late; Later	מאוחר	m'ukhar
Early	מוקדם	muk'dam
Especially; Mainly	במיוחד	b'yikhud
Finally, At Last	סוף סוף	sof sof
Not Necessarily	לא בהכרח	lo b'hekh'reakh
Approximately, Sort Of, Roughly	בערך	b'erekh
Exactly, Precisely	בדיוק	b'diyuk
Easily	בקלות	b'kalut
Completely, Entirely	לגמרי	l'gam'rei
Hardly, Barely	בקושי	b'koshi
Not Necessarily (Aramaic)	לאו דווקא	la'v dav'ka
In General, Generally	באופן כללי	b'ofen k'lali
Probably, Safe to Assume	סביר להניח	savir l'haniakh
Everywhere	בכל מקום	b'khol makom
Really, Very, Truly	ממש	mamash
Far Away	הרחק	har'khek
Just Now, Right Now, At The Moment	כרגע	karega
Clearly	ברור	b'verur
Slowly	לאט	l'at
Quickly	מהר	maher
Immediately, Promptly	מיד	miyad
Together	ביחד	b'yakhad
So, So Much/Many	כל כך	kal kakh
Definitely, Certainly	בהחלט	b'hekh'let
Lately, Recently	לאחרונה	la'akharona
Like, As (Prep)	כמו	k'mo
Son	בן	ben
Brother	אח	akh
Brothers	אחים	akhim
Parent	הורה	horeh
Husband	בעל	ba'al
Surname	שם משפחה	shem mish'pakhah
First Name	שם פרטי	shem p'rati
Marriage	נישואין	nisu'in
Grandfather	סבא	saba
Grandson	נכד	nekhed
Uncle	דוד	dod
Cousin (m)	בן דוד	ben dod
Groom	חתן	khatan
Partner (m)	בן זוג	bat-zug
Nephew	אחיין	akh'yan
Baby	תינוק	tinok
Life	חיים	khayim
Daughter	בת	bat
Sister	אחות	akhot
Sisters	אחיות	akhayot
Family	משפחה	mish'pakhah
Wife	אישה	ishah
Grandmother	סבתא	sav'ta
Granddaughter	נכדה	nekh'dah
Wedding	חתונה	khatunah
Aunt	דודה	dodah
Cousin (f)	בת דודה	bat dodah
Bride	כלה	kalah
Partner (f)	בת זוג	ben-zug
